iter	MultiClass
0	1.695890884
1	1.636198529
2	1.565306404
3	1.492207207
4	1.464798485
5	1.416014843
6	1.367730323
7	1.329293873
8	1.287279837
9	1.246659243
10	1.203048749
11	1.179582816
12	1.159352367
13	1.129355022
14	1.109340823
15	1.07910858
16	1.06453198
17	1.04107353
18	1.020767036
19	0.9929975482
20	0.9796849677
21	0.9539088554
22	0.9316934271
23	0.9157190761
24	0.9085010596
25	0.883773232
26	0.8604114337
27	0.8449554323
28	0.8318425516
29	0.8207709074
30	0.8031652358
31	0.7897161654
32	0.7735120229
33	0.7600487861
34	0.7441390114
35	0.7300396553
36	0.7142639298
37	0.7015980451
38	0.6965410783
39	0.6853894395
40	0.6753119795
41	0.6653123463
42	0.657059112
43	0.6511607594
44	0.6400857776
45	0.6260109964
46	0.6191757323
47	0.6103153446
48	0.6004790357
49	0.5928122835
50	0.5833102805
51	0.5734211271
52	0.563670155
53	0.5550197771
54	0.5488063208
55	0.5401489255
56	0.5344891544
57	0.528015046
58	0.5213284777
59	0.517651653
60	0.5140591506
61	0.5083993134
62	0.5025013891
63	0.4944684949
64	0.4892639857
65	0.4833961439
66	0.4778560608
67	0.4737315751
68	0.4668801375
69	0.4625442021
70	0.457839051
71	0.4525396348
72	0.4453144498
73	0.4420119121
74	0.4389322497
75	0.4322866942
76	0.4275479577
77	0.4246557979
78	0.4186736559
79	0.4142677387
80	0.4122216612
81	0.4078568047
82	0.4035058847
