iter	Passed	Remaining
0	41	18841
1	80	18290
2	117	17878
3	154	17563
4	191	17345
5	228	17185
6	266	17171
7	303	17046
8	341	17019
9	377	16892
10	414	16843
11	452	16818
12	489	16770
13	526	16705
14	563	16642
15	600	16602
16	638	16573
17	676	16548
18	713	16485
19	749	16422
20	787	16378
21	826	16378
22	865	16360
23	902	16311
24	939	16267
25	977	16242
26	1014	16194
27	1053	16172
28	1093	16180
29	1131	16138
30	1168	16092
31	1205	16054
32	1244	16027
33	1281	15981
34	1318	15936
35	1357	15908
36	1395	15874
37	1433	15839
38	1470	15799
39	1508	15768
40	1546	15733
41	1585	15702
42	1622	15658
43	1661	15631
44	1698	15587
45	1735	15542
46	1772	15497
47	1809	15456
48	1846	15413
49	1884	15374
50	1922	15346
51	1962	15321
52	2002	15303
53	2041	15275
54	2080	15241
55	2117	15201
56	2154	15160
57	2191	15116
58	2230	15083
59	2268	15044
60	2307	15018
61	2346	14985
62	2384	14950
63	2422	14910
64	2460	14876
65	2497	14835
66	2537	14807
67	2575	14769
68	2612	14730
69	2652	14704
70	2689	14661
71	2728	14628
72	2768	14600
73	2805	14560
74	2842	14517
75	2879	14475
76	2918	14442
77	2956	14405
78	2995	14369
79	3033	14332
80	3069	14286
81	3106	14244
82	3143	14203
83	3180	14162
84	3219	14127
85	3256	14086
86	3294	14047
87	3331	14007
88	3368	13967
89	3405	13925
90	3443	13887
91	3481	13849
92	3519	13813
93	3558	13780
94	3597	13744
